method,metric,winning_seeds
minmax,L1,
minmax,L2,
minmax,Linf,"1051546744, 1071411685, 1113517734, 1159486015, 1182543876, 128381603, 1286506754, 1287742576, 1377565856, 1407845925, 1481940614, 1531187331, 1564874391, 1604629861, 1644694329, 1658507585, 1668085750, 1686446476, 1700342864, 1710596098, 1713501814, 1854515226, 1899731428, 1961686368, 1977401205, 1978680383, 2064209148, 2120559769, 2123373769, 2135447329, 2155587387, 2163608533, 2170922848, 2171572530, 2192005254, 2289544206, 2294315688, 233223035, 2355234167, 2401778843, 2406846272, 2566025062, 2587590978, 2588420036, 2682510231, 2753197702, 2812667979, 2861258851, 2912188047, 2926294992, 2930206692, 2998101109, 3009064421, 3030289148, 3072393223, 3116881836, 3167638418, 3197941120, 3199106093, 3319701826, 3446830110, 3459488738, 3479995612, 3541440826, 3646217477, 3698453043, 3770559790, 3791412673, 3842484845, 3869240338, 3874931330, 3906191697, 4004118846, 4006785650, 4026328641, 4102445540, 4127025866, 4133993844, 4134748292, 4167400292, 417117116, 4254302090, 505564549, 517476488, 594755450, 628153449, 63131113, 668984156, 67876773, 767145544, 791318910, 808402992, 828715103, 831241174, 861631986, 866015495, 956732174, 983361596, 989849122"
median,L1,"1051546744, 1071411685, 1159486015, 1182543876, 128381603, 1286506754, 1287742576, 1377565856, 1407845925, 1481940614, 1531187331, 1564874391, 1604629861, 1644694329, 1658507585, 1668085750, 1686446476, 1700342864, 1710596098, 1713501814, 1854515226, 1899731428, 1961686368, 1977401205, 1978680383, 2064209148, 2120559769, 2123373769, 2135447329, 2155587387, 2163608533, 2170922848, 2171572530, 2192005254, 2289544206, 2294315688, 233223035, 2355234167, 2400307194, 2401778843, 2406846272, 2566025062, 2587590978, 2588420036, 2682510231, 2753197702, 2861258851, 2912188047, 2926294992, 2930206692, 2998101109, 3009064421, 3030289148, 3072393223, 3116881836, 3167638418, 3197941120, 3199106093, 3319701826, 3446830110, 3459488738, 3479995612, 3541440826, 3646217477, 3698453043, 3770559790, 3791412673, 3842484845, 3869240338, 3874931330, 3906191697, 4004118846, 4006785650, 4026328641, 4102445540, 4127025866, 4133993844, 4134748292, 4167400292, 417117116, 4254302090, 505564549, 517476488, 594755450, 628153449, 63131113, 67876773, 767145544, 791318910, 808402992, 828715103, 831241174, 861631986, 866015495, 983361596, 989849122"
median,L2,
median,Linf,
single,L1,
single,L2,
single,Linf,
complete,L1,
complete,L2,
complete,Linf,
average,L1,"1113517734, 2812667979, 668984156, 956732174"
average,L2,"1051546744, 1071411685, 1113517734, 1159486015, 1182543876, 128381603, 1286506754, 1287742576, 1377565856, 1407845925, 1481940614, 1531187331, 1564874391, 1604629861, 1644694329, 1658507585, 1668085750, 1686446476, 1700342864, 1710596098, 1713501814, 1854515226, 1899731428, 1961686368, 1977401205, 1978680383, 2064209148, 2120559769, 2123373769, 2135447329, 2155587387, 2163608533, 2170922848, 2171572530, 2192005254, 2289544206, 2294315688, 233223035, 2355234167, 2400307194, 2401778843, 2406846272, 2566025062, 2587590978, 2588420036, 2682510231, 2753197702, 2812667979, 2861258851, 2912188047, 2926294992, 2930206692, 2998101109, 3009064421, 3030289148, 3072393223, 3116881836, 3167638418, 3197941120, 3199106093, 3319701826, 3446830110, 3459488738, 3479995612, 3541440826, 3646217477, 3698453043, 3770559790, 3791412673, 3842484845, 3869240338, 3874931330, 3906191697, 4004118846, 4006785650, 4026328641, 4102445540, 4127025866, 4133993844, 4134748292, 4167400292, 417117116, 4254302090, 505564549, 517476488, 594755450, 628153449, 63131113, 668984156, 67876773, 767145544, 791318910, 808402992, 828715103, 831241174, 861631986, 866015495, 956732174, 983361596, 989849122"
average,Linf,2400307194
ward,L1,
ward,L2,
ward,Linf,
